ANIM0007, Physical Science Module 3: Advanced Neuroimaging Techniques, 4, 1
ANIM0005, Clinical Module 2: Neurology & Neuroimaging I - Stroke and Inflammation & Infection, 4, 2
CLNE0029, Clinical Neuroscience of Dementia, 4, 1
CLNE0013, Neurodegenerative and Infectious and Inflammatory Diseases of the Nervous System - Basic, 4, 1
CLNE0035, Research Project: MSc Brain and Mind Sciences, 4, 2
CLNE0026, Treatment (HASU and Service Delivery), 4, 2
CLNE0040, Library Project: Stroke, 4, 1
CLNE0006, Library Project: Clinical Neuroscience, 4, 1
CLNE0008, Library Project: MSc Brain and Mind Sciences, 4, 1
CLNE0005, Paroxysmal disorders and Tumours and Special Senses of the Central Nervous System, 4, 2
CLNE0007, Research Methods and Introduction to Statistics, 4, 1
CLNE0032, Research Project: MSc Neuromuscular Disease, 4, 2
CLNE0020, Motoneurons and Neuromuscular Junctions and Associated Disease, 4, 2
CLNE0004, Motor Systems and Disease, 4, 2
CLNE0016, Neurodegenerative and Infectious and Inflammatory Diseases of the Nervous System - Advanced, 4, 1
CLNE0033, Research Project: MRes Stroke Medicine, 4, 2
CLNE0003, Higher Functions of the Brain, 4, 2
CLNE0017, Stroke and Epilepsy and Rehabilitation - Basic, 4, 1
CLNE0014, Common Problems in Neurological Practice - Basic, 4, 1
CLNE0009, Basic Neuroscience and Investigation of Nervous System, 4, 1
CLNE0021, Advanced Genetic Technologies and their Clinical Applications, 4, 2
CLNE0018, Stroke and Epilepsy and Rehabilitation - Advanced, 4, 1
CLNE0039, Research Project: MSc Stroke Medicine, 4, 2
CLNE0046, Genetic Therapies for Neurological Diseases  , 4, 2
CLNE0031, Research Project: MRes Neuromuscular Disease, 4, 2
CLNE0036, Research Project: MSc Clinical Neuroscience, 4, 2
CLNE0010, Neuromuscular Literature Review, 4, 1
CLNE0034, Research Project: MRes Translational Neuroscience, 4, 2
ANIM0004, Clinical Module 1: Foundational Neuroanatomy and Systems, 4, 1
CLNE0025, Clinical Manifestations of Stroke, 4, 1
CLNE0044, Diagnosis and management of nervous system disorders, 4, 1
CLNE0045, Neurology and Neurosurgery in practice, 4, 1
CLNE0012, Neurology and Neurosurgery - Basic, 4, 1
CLNE0043, Applied experimental approaches to studying neuronal circuits in health and disease, 4, 2
CLNE0037, Research Project: MSc Dementia (Neuroscience), 4, 2
ANIM0006, Clinical Module 3: Neurology & Neuroimaging II - Tumour and Epilepsy & Trauma, 4, 2
ANIM0003, Physical Sciences Module 1: Introductory Science and Methods, 4, 1
CLNE0015, Common Problems in Neurological Practice - Advanced, 4, 1
CLNE0019, Experimental Neurology, 4, 1
CLNE0011, Neurology and Neurosurgery - Advanced, 4, 1
CLNE0023, Peripheral Nerves and Associated Diseases, 4, 1
ANIM0009, Research Project: MRes Advanced Neuroimaging, 4, 2
CLNE0022, Skeletal Muscle and Associated Diseases, 4, 1
CLNE0024, Stroke: Risk factors and Pathophysiology and Imaging, 4, 1
CLNE0030, Practical Neuroscience of Dementia, 4, 2
ANIM0002, Research Project: MSc Advanced Neuroimaging, 4, 1
CLNE0047, Clinical NeuroSurgery (CNS) topics, 4, 1
CLNE0028, Neurorehabilitation, 4, 2
CLNE0038, Research Project: MSc Clinical Neurology, 4, 1
CLNE0049, Neurosurgery research project, 4, 2
ANIM0011, Physical Science Module 4 - Advanced Neuroimaging Analysis Methods, 4, 2
CLNE0048, Practical NeuroSurgery (PNS) skills, 4, 1
ANIM0010, Research Integrity and Governance, 4, 1
ANIM0012, Clinical Module 4: Neurology & Neuroimaging III - Neurodegeneration and Demyelination & Neuromuscular Disease, 4, 2
ANIM0008, Physical Sciences Module 2 - Neuroimaging Modalities, 4, 1
GBSH0022, Coaching and Mentoring for Healthcare Leaders, 4, 2
GBSH0025, Healthcare Supply Chain Management, 4, 2
GBSH0026, Pharma Commercialisation and Marketing, 4, 2
GBSH0012, Organisational Behaviour for an Inclusive and Diverse Workforce, 4, 2
GBSH0023, Pharmaceutical and Biotech Policies and Practices, 4, 1
GBSH0017, Leading Innovation and Change in Healthcare, 4, 2
GBSH0001, Strategy and People and Marketing, 4, 1
GBSH0007, Changing Health Systems, 4, 2
GBSH0009, Research Project, 4, 2
GBSH0019, Marketing Health and Healthcare, 4, 2
GBSH0006, Health Consultant, 4, 2
